"key","da","en"
"^rn-wappsto-networks^languages:da","Dansk","Dansk"
"^rn-wappsto-networks^languages:de","Deutsch","Deutsch"
"^rn-wappsto-networks^languages:en","English","English"
"^rn-wappsto-networks^languages:es","Español","Español"
"^rn-wappsto-networks^languages:fr","Français","Français"
"^rn-wappsto-networks^languages:it","Italiano","Italiano"
"^rn-wappsto-networks^languages:nl","Dutch","Dutch"
"^rn-wappsto-networks^languages:ru","Русский","Русский"
"^rn-wappsto-networks^languages:sv","Svenska","Svenska"
"^rn-wappsto-networks^languages:ua","Українська","Українська"
"^rn-wappsto-networks^translation:appTitle","DA: missing translation","Wappsto Networks"
"^rn-wappsto-networks^translation:pageTitle.account","DA: missing translation","account"
"^rn-wappsto-networks^translation:pageTitle.changePassword","DA: missing translation","change password"
"^rn-wappsto-networks^translation:pageTitle.changeUsername","DA: missing translation","change email"
"^rn-wappsto-networks^translation:pageTitle.changeUserDetails","DA: missing translation","change personal details"
"^rn-wappsto-networks^translation:pageTitle.recoverPassword","DA: missing translation","recover password"
"^rn-wappsto-networks^translation:pageTitle.main","DA: missing translation","devices"
"^rn-wappsto-networks^translation:pageTitle.settings","DA: missing translation","settings"
"^rn-wappsto-networks^translation:pageTitle.register","DA: missing translation","register an account"
"^rn-wappsto-networks^translation:pageTitle.terms","DA: missing translation","terms & conditions"
"^rn-wappsto-networks^account:username",,"email"
"^rn-wappsto-networks^account:newUsername",,"new email"
"^rn-wappsto-networks^account:email",,"contact email"
"^rn-wappsto-networks^account:firstName",,"first name"
"^rn-wappsto-networks^account:lastName",,"last name"
"^rn-wappsto-networks^account:nickname",,"nickname"
"^rn-wappsto-networks^account:phone",,"phone"
"^rn-wappsto-networks^account:uuid",,"User ID"
"^rn-wappsto-networks^account:password",,"password"
"^rn-wappsto-networks^account:currentPassword",,"current password"
"^rn-wappsto-networks^account:newPassword",,"new password"
"^rn-wappsto-networks^account:repeatPassword",,"repeat password"
"^rn-wappsto-networks^account:createAccount",,"create an account"
"^rn-wappsto-networks^account:continue",,"continue"
"^rn-wappsto-networks^account:recoverPassword",,"recover password"
"^rn-wappsto-networks^account:logIn",,"log in"
"^rn-wappsto-networks^account:signInWithFacebook",,"sign in with Facebook"
"^rn-wappsto-networks^account:signInWithGoogle",,"sign in with Google"
"^rn-wappsto-networks^account:privacyNotice",,"privacy"
"^rn-wappsto-networks^account:termsAndConditions",,"Terms & Conditions"
"^rn-wappsto-networks^account:readAndAcceptTerms",,"I have read and accept the terms and conditions."
"^rn-wappsto-networks^account:register",,"register"
"^rn-wappsto-networks^account:deleteAccount",,"delete account"
"^rn-wappsto-networks^account:signedInWith",,"signed in with {{provider, CapitalizeFirst}}"
"^rn-wappsto-networks^account:loginWithEmail",,"login with email"
"^rn-wappsto-networks^account:chooseSignInOption",,"or select sign-in option below"
"^rn-wappsto-networks^account:recoverPasswordInfo",,"we will send you an email with the link to change your password. Enter a valid email address below."
"^rn-wappsto-networks^account:recoverPasswordConfirmation",,"Check your email to follow further instructions."
"^rn-wappsto-networks^account:changePasswordInfo",,"we will send you an email with the link to change your password. Enter a valid email address below."
"^rn-wappsto-networks^account:changePasswordConfirmation",,"Check your email to follow further instructions."
"^rn-wappsto-networks^account:changeUsernameInfo",,"to change your username, enter your credentials and a valid email address you want change to."
"^rn-wappsto-networks^account:changeUsernameConfirmation",,"you will receive a link to confirm new email and apply the change."
"^rn-wappsto-networks^account:deleteAccountTitle",,"delete account"
"^rn-wappsto-networks^account:deleteAccountInfo",,"you can request your account termination. Once you send the request, we will send you an email with the link. Follow the link to confirm your account deletion."
"^rn-wappsto-networks^account:deleteAccountSuccess",,"an email was sent to you, please follow the instructions."
"^rn-wappsto-networks^account:registrationInfo",,"Please enter the following information to create an account."
"^rn-wappsto-networks^account:registrationConfirmation",,"Check your email to follow further instructions."
"^rn-wappsto-networks^account:changeUserDetailsSuccess",,"User details changed successfully"
"^rn-wappsto-networks^account:changePasswordSuccess",,"Password changed successfully"
"^rn-wappsto-networks^account:validation.password",,"password is required"
"^rn-wappsto-networks^account:validation.repeatPassword",,"passwords do not match"
"^rn-wappsto-networks^account:validation.username",,"missing or invalid email"
"^rn-wappsto-networks^error:300084",,"username and password do not match."
"^rn-wappsto-networks^error:400006",,"you don't have permission to access this device ID."
"^rn-wappsto-networks^error:9900032",,"invalid action!"
"^rn-wappsto-networks^error:9900145",,"the IoT device with provided ID is not found"
"^rn-wappsto-networks^error:9900147",,"the IoT device with provided ID does not exist."
"^rn-wappsto-networks^error:134000005",,"device is unreachable or offline"
"^rn-wappsto-networks^error:generic",,"something went wrong."
"^rn-wappsto-networks^error:noResponse",,"something went wrong, please verify that you are connected to internet"
"^rn-wappsto-networks^error:status.503",,"service unavailable"
"^rn-wappsto-networks^error:internetConnectionLost",,"internet connection is lost"
"^rn-wappsto-networks^error:stream.connectionLost",,"stream connection is lost"
"^rn-wappsto-networks^error:stream.code.4000",,"internal server error"
"^rn-wappsto-networks^error:stream.code.4001",,"session not valid"
"^rn-wappsto-networks^error:stream.code.4002",,"forbidden"
"^rn-wappsto-networks^error:stream.code.4003",,"missing subscription"
"^rn-wappsto-networks^error:stream.code.4004",,"stopped"
"^rn-wappsto-networks^error:stream.code.4005",,"failed to open websocket"
"^rn-wappsto-networks^translation:genericButton.back",,"back"
"^rn-wappsto-networks^translation:genericButton.cancel",,"cancel"
"^rn-wappsto-networks^translation:genericButton.create",,"create"
"^rn-wappsto-networks^translation:genericButton.delete",,"delete"
"^rn-wappsto-networks^translation:genericButton.done",,"done"
"^rn-wappsto-networks^translation:genericButton.edit",,"edit"
"^rn-wappsto-networks^translation:genericButton.next",,"next"
"^rn-wappsto-networks^translation:genericButton.no",,"no"
"^rn-wappsto-networks^translation:genericButton.ok",,"ok"
"^rn-wappsto-networks^translation:genericButton.yes",,"yes"
"^rn-wappsto-networks^translation:genericButton.refresh",,"refresh"
"^rn-wappsto-networks^translation:genericButton.reload",,"reload"
"^rn-wappsto-networks^translation:genericButton.remove",,"remove"
"^rn-wappsto-networks^translation:genericButton.save",,"save"
"^rn-wappsto-networks^translation:genericButton.send",,"send"
"^rn-wappsto-networks^translation:validation.wrongMinNumber",,"inserted number should larger than {{number}}"
"^rn-wappsto-networks^translation:validation.wrongMaxNumber",,"inserted number should be smaller than {{number}}"
"^rn-wappsto-networks^translation:currentState",,"current state"
"^rn-wappsto-networks^translation:desiredState",,"desired state"
"^rn-wappsto-networks^translation:device",,"device"
"^rn-wappsto-networks^translation:device_plural",,"device"
"^rn-wappsto-networks^translation:networkDescription.name",,"name"
"^rn-wappsto-networks^translation:networkDescription.uuid",,"device ID (UUID)"
"^rn-wappsto-networks^translation:deviceDescription.description",,"description"
"^rn-wappsto-networks^translation:deviceDescription.included",,"included"
"^rn-wappsto-networks^translation:deviceDescription.manufacturer",,"manufacturer"
"^rn-wappsto-networks^translation:deviceDescription.name",,"name"
"^rn-wappsto-networks^translation:deviceDescription.product",,"product"
"^rn-wappsto-networks^translation:deviceDescription.serial",,"serial"
"^rn-wappsto-networks^translation:deviceDescription.uuid",,"thing ID (UUID)"
"^rn-wappsto-networks^translation:deviceDescription.version",,"version"
"^rn-wappsto-networks^translation:deleteConfirmationQuestion",,"Are you sure you want to delete?"
"^rn-wappsto-networks^translation:deleteConfirmationDescription",,"this action cannot be undone."
"^rn-wappsto-networks^translation:noData",,"no data"
"^rn-wappsto-networks^translation:lastUpdated",,"last updated"
"^rn-wappsto-networks^translation:loading",,"loading"
"^rn-wappsto-networks^translation:logout",,"logout"
"^rn-wappsto-networks^translation:network",,"network"
"^rn-wappsto-networks^translation:network_plural",,"network"
"^rn-wappsto-networks^translation:prototype",,"prototype"
"^rn-wappsto-networks^translation:prototype_plural",,"prototypes"
"^rn-wappsto-networks^translation:state",,"state"
"^rn-wappsto-networks^translation:state_plural",,"state"
"^rn-wappsto-networks^translation:statusMessage.connecting",,"connecting..."
"^rn-wappsto-networks^translation:statusMessage.creatingStream",,"creating stream..."
"^rn-wappsto-networks^translation:statusMessage.gettingStream",,"getting stream..."
"^rn-wappsto-networks^translation:statusMessage.loading",,"loading..."
"^rn-wappsto-networks^translation:statusMessage.openingConnection",,"opening connection"
"^rn-wappsto-networks^translation:statusMessage.reconnecting",,"reconnecting..."
"^rn-wappsto-networks^translation:statusMessage.streamClosed",,"stream connection closed"
"^rn-wappsto-networks^translation:statusMessage.streamOpen",,"stream connection open"
"^rn-wappsto-networks^translation:statusMessage.updatingStream",,"updating stream..."
"^rn-wappsto-networks^translation:timestamp.daysAgo",,"few day ago"
"^rn-wappsto-networks^translation:timestamp.hoursAgo",,"few hours ago"
"^rn-wappsto-networks^translation:timestamp.minutesAgo",,"few minutes ago"
"^rn-wappsto-networks^translation:timestamp.monthsAgo",,"few month ago"
"^rn-wappsto-networks^translation:timestamp.secondsAgo",,"few seconds ago"
"^rn-wappsto-networks^translation:timestamp.yearsAgo",,"few years ago"
"^rn-wappsto-networks^translation:tryAgain",,"try again"
"^rn-wappsto-networks^translation:value",,"value"
"^rn-wappsto-networks^translation:value_plural",,"values"
"^rn-wappsto-networks^translation:valueDescription.blob",,"blob"
"^rn-wappsto-networks^translation:valueDescription.dataType",,"data type"
"^rn-wappsto-networks^translation:valueDescription.encoding",,"encoding"
"^rn-wappsto-networks^translation:valueDescription.max",,"maximum"
"^rn-wappsto-networks^translation:valueDescription.maxLength",,"maximum length"
"^rn-wappsto-networks^translation:valueDescription.min",,"minimum"
"^rn-wappsto-networks^translation:valueDescription.name",,"name"
"^rn-wappsto-networks^translation:valueDescription.namespace",,"namespace"
"^rn-wappsto-networks^translation:valueDescription.permission",,"permission"
"^rn-wappsto-networks^translation:valueDescription.status",,"status"
"^rn-wappsto-networks^translation:valueDescription.stepSize",,"step size"
"^rn-wappsto-networks^translation:valueDescription.string",,"string"
"^rn-wappsto-networks^translation:valueDescription.type",,"type"
"^rn-wappsto-networks^translation:valueDescription.unit",,"unit"
"^rn-wappsto-networks^translation:valueDescription.uuid",,"ID (UUID)"
"^rn-wappsto-networks^translation:valueDescription.xsd",,"XSD"
"^rn-wappsto-networks^translation:cannotAccess.not_shared",,"You do not have permission to access the data"
"^rn-wappsto-networks^translation:cannotAccess.not_paid",,"You do not have enough money to access the data"
"^rn-wappsto-networks^translation:onboarding.registrationTitle",,"add device"
"^rn-wappsto-networks^translation:onboarding.configurationTitle",,"configure"
"^rn-wappsto-networks^translation:onboarding.option.register",,"register"
"^rn-wappsto-networks^translation:onboarding.option.registerAndSetupWifi",,"register & setup Wi-Fi"
"^rn-wappsto-networks^translation:onboarding.option.setupWifi",,"setup Wi-Fi"
"^rn-wappsto-networks^translation:onboarding.claimNetwork.claimNetworkTitle",,"add an IoT device"
"^rn-wappsto-networks^translation:onboarding.claimNetwork.claimNetworkInfo",,"To add an IoT device to your list, provide its unique identifier (UUID, 36-characters).

Use camera to scan the code printed on your device."
"^rn-wappsto-networks^translation:onboarding.claimNetwork.enterUUID",,"if QR code scanning doesn't work for you, enter the identifier  in the field above."
"^rn-wappsto-networks^translation:onboarding.claimNetwork.addManufacturerNetworkTitle",,"Warning"
"^rn-wappsto-networks^translation:onboarding.claimNetwork.manufacturerAsOwnerWarning",,"the manufacturer of this device has full access to this device data. Do you want to add this device to your account?"
"^rn-wappsto-networks^translation:onboarding.claimNetwork.cameraPermission.denied",,"camera not authorized"
"^rn-wappsto-networks^translation:onboarding.claimNetwork.cameraPermission.pending",,"waiting for camera"
"^rn-wappsto-networks^translation:onboarding.claimNetwork.cameraPermission.title",,"camera permission is required"
"^rn-wappsto-networks^translation:onboarding.claimNetwork.cameraPermission.message",,"the app needs access to phone camera to scan the QR code"
"^rn-wappsto-networks^translation:onboarding.claimNetwork.scanQRCode",,"tap here to scan QR code"
"^rn-wappsto-networks^translation:onboarding.claimNetwork.rescanQRCode",,"tap here to scan again"
"^rn-wappsto-networks^translation:onboarding.claimNetwork.scanSuccessMessage",,"QR code scanned"
"^rn-wappsto-networks^translation:onboarding.claimNetwork.uuidLabel",,"device UUID"
"^rn-wappsto-networks^translation:onboarding.claimNetwork.claimNetworkBtn",,"add"
"^rn-wappsto-networks^translation:onboarding.deviceDiscovery.lookingForDevices",,"looking for devices"
"^rn-wappsto-networks^translation:onboarding.deviceDiscovery.scanAgain",,"search again"
"^rn-wappsto-networks^translation:onboarding.deviceDiscovery.scanError",,"failed to find devices"
"^rn-wappsto-networks^translation:onboarding.deviceDiscovery.foundDevices",,"devices nearby"
"^rn-wappsto-networks^translation:onboarding.deviceDiscovery.selectDevice",,"select your IoT device"
"^rn-wappsto-networks^translation:onboarding.deviceDiscovery.noDevicesFound",,"No devices were found"
"^rn-wappsto-networks^translation:onboarding.deviceDiscovery.unknownName",,"unknown"
"^rn-wappsto-networks^translation:onboarding.deviceDiscovery.goToSettings",,"go to settings"
"^rn-wappsto-networks^translation:onboarding.deviceDiscovery.permissionError.bluetoothGeneric",,"Enable Bluetooth to continue. Bluetooth is required to find nearby devices."
"^rn-wappsto-networks^translation:onboarding.deviceDiscovery.permissionError.bluetoothUnauthorized",,"$t(onboarding.deviceDiscovery.permissionError.bluetoothGeneric)"
"^rn-wappsto-networks^translation:onboarding.deviceDiscovery.permissionError.bluetoothNotSupported",,"This feature requires Bluetooth yet your phone does not support it."
"^rn-wappsto-networks^translation:onboarding.deviceDiscovery.permissionError.bluetoothOff",,"$t(onboarding.deviceDiscovery.permissionError.bluetoothGeneric)"
"^rn-wappsto-networks^translation:onboarding.deviceDiscovery.permissionError.location",,"Enable location to continue. Location is required to find nearby devices."
